"","SPECIES","DISTRICT","SIZE","YEAR","REGION","A_EST","A_SE","B_EST","B_SE","PROP_MATURE"
"198","TANNER","E166",66,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0264437379199365
"199","TANNER","ALL",67,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0732571551129865
"200","TANNER","W166",67,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.12167860052888
"201","TANNER","E166",67,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0283644030656485
"202","TANNER","ALL",68,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0773943347970517
"203","TANNER","W166",68,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.1296332789132
"204","TANNER","E166",68,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0304202112742523
"205","TANNER","ALL",69,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0817445516135649
"206","TANNER","W166",69,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.138026268402119
"207","TANNER","E166",69,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0326200189626876
"208","TANNER","ALL",70,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0863164109266388
"209","TANNER","W166",70,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.146870958386628
"210","TANNER","E166",70,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0349731656083959
"211","TANNER","ALL",71,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0911185950684173
"212","TANNER","W166",71,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.156179722566009
"213","TANNER","E166",71,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0374894853259346
"214","TANNER","ALL",72,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0961598292407741
"215","TANNER","W166",72,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.165963706673806
"216","TANNER","E166",72,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0401793162151831
"217","TANNER","ALL",73,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.101448843139744
"218","TANNER","W166",73,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.176232605293111
"219","TANNER","E166",73,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0430535069856082
"220","TANNER","ALL",74,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.10699432812122
"221","TANNER","W166",74,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.186994430265431
"222","TANNER","E166",74,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0461234203031552
"223","TANNER","ALL",75,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.112804889760833
"224","TANNER","W166",75,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.198255273820968
"225","TANNER","E166",75,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0494009322463241
"226","TANNER","ALL",76,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.118888995704046
