"","Year","directedfish_biomass","bin","prop_mature_weighted","prop_mature_weighted_kg","prop_mature_unweighted","survey_abundance","lag1_survey_abundance","lag2_survey_abundance","lag3_survey_abundance","survey_biomass","lag1_survey_biomass","lag2_survey_biomass","lag3_survey_biomass","MarApr_ice"
"44",2011,40.29,"Small",0.145772010698638,0.140783162572013,0.181818181818182,6.28354682109196,5.7624878331966,4.9132599759552,5.73187900553997,3.84443543310343,3.30494781099087,2.52008517176495,3.28150634483992,-0.151636216503621
"45",2012,30.05,"Large",1,1,1,3.06386035841196,3.64255746055141,3.93752523636902,3.90220853844927,2.23556734386502,2.8013270352569,3.08885130419418,3.04332259385403,1.74678226407349
"46",2012,30.05,"Small",NA,NA,NA,5.74909693423991,6.28354682109196,5.7624878331966,4.9132599759552,3.34247398956648,3.84443543310343,3.30494781099087,2.52008517176495,1.74678226407349
"47",2013,24.49,"Large",0.764622506968694,0.774617140901353,0.8,3.7650781083002,3.06386035841196,3.64255746055141,3.93752523636902,2.92085366732687,2.23556734386502,2.8013270352569,3.08885130419418,1.1987421953762
"48",2013,24.49,"Small",0.101146359410314,0.105133422951546,0.237623762376238,5.27236142956976,5.74909693423991,6.28354682109196,5.7624878331966,2.84708268137048,3.34247398956648,3.84443543310343,3.30494781099087,1.1987421953762
"49",2015,18.42,"Large",0.75664226830722,0.77570784574198,0.787234042553192,3.00197053529644,3.7650781083002,3.06386035841196,3.64255746055141,2.18748851062757,2.92085366732687,2.23556734386502,2.8013270352569,-0.368501597004758
"50",2015,18.42,"Small",0.189229375415741,0.206304420889318,0.333333333333333,5.18706874766335,5.27236142956976,5.74909693423991,6.28354682109196,2.78236253064768,2.84708268137048,3.34247398956648,3.84443543310343,-0.368501597004758
"51",2017,8.6,"Large",0.893762822262625,0.895043695720655,0.895384615384615,3.05427703398185,3.00197053529644,3.7650781083002,3.06386035841196,2.24400667576001,2.18748851062757,2.92085366732687,2.23556734386502,-0.545104795345
"52",2017,8.6,"Small",0.304302456433912,0.306058056799261,0.38031914893617,6.36623135982268,5.18706874766335,5.27236142956976,5.74909693423991,3.89265709626194,2.78236253064768,2.84708268137048,3.34247398956648,-0.545104795345
"53",2018,12.51,"Large",0.931942292632948,0.934333716463087,0.929245283018868,4.09103136886603,3.05427703398185,3.00197053529644,3.7650781083002,3.22686491792697,2.24400667576001,2.18748851062757,2.92085366732687,-2.31658609218547
"54",2018,12.51,"Small",0.280001680354653,0.295345665226762,0.427536231884058,7.44638335524452,6.36623135982268,5.18706874766335,5.27236142956976,4.96238052256644,3.89265709626194,2.78236253064768,2.84708268137048,-2.31658609218547
"55",2019,15.43,"Large",0.826312449768882,0.829635742420101,0.904977375565611,4.38778016420631,4.09103136886603,3.05427703398185,3.00197053529644,3.50817529138043,3.22686491792697,2.24400667576001,2.18748851062757,-2.44446140207514
"56",2019,15.43,"Small",0.112981799438964,0.114051647522185,0.448275862068966,6.20820371526255,7.44638335524452,6.36623135982268,5.18706874766335,3.80720896510155,4.96238052256644,3.89265709626194,2.78236253064768,-2.44446140207514
