"","YEAR","SPECIES","DISTRICT","SIZE_5MM","PROP_MATURE_mean","PROP_MATURE_lo","PROP_MATURE_hi"
"57",1991,"SNOW","ALL",17.5,8.84155352172e-05,1.48050403660758e-06,0.000582103613400901
"58",1991,"SNOW","ALL",22.5,0.000216794386604528,1.04835782141751e-05,0.00132535760780031
"59",1991,"SNOW","ALL",27.5,0.000729532885783151,7.05706765375119e-05,0.00350186996526733
"60",1991,"SNOW","ALL",32.5,0.00236728598597688,0.000460232913593652,0.00720652900897092
"61",1991,"SNOW","ALL",37.5,0.00593723924522025,0.00206183719468623,0.0135420437978162
"62",1991,"SNOW","ALL",42.5,0.0207086257117696,0.0111768994357745,0.0362056294024084
"63",1991,"SNOW","ALL",47.5,0.0459078404555644,0.0305615366901583,0.0653024375623495
"64",1991,"SNOW","ALL",52.5,0.0881890011037503,0.0622843045877033,0.120520791745983
"65",1991,"SNOW","ALL",57.5,0.137212273319803,0.0888478729899914,0.206180904633462
"66",1991,"SNOW","ALL",62.5,0.186807918240718,0.126699147818286,0.267359970063194
"67",1991,"SNOW","ALL",67.5,0.232777136123975,0.177064270731417,0.30427607428713
"68",1991,"SNOW","ALL",72.5,0.260369508173809,0.226140840050111,0.293327453209442
"69",1991,"SNOW","ALL",77.5,0.296787620106293,0.257017474252202,0.335845908285034
"70",1991,"SNOW","ALL",82.5,0.26941196879814,0.228740278480341,0.314509153168919
"71",1991,"SNOW","ALL",87.5,0.218506803143439,0.186848032755293,0.259090191086461
"72",1991,"SNOW","ALL",92.5,0.196773832359604,0.165835538090044,0.240056857725145
"73",1991,"SNOW","ALL",97.5,0.317692930870483,0.280130400896316,0.371042699928795
"74",1991,"SNOW","ALL",102.5,0.600297244893793,0.555084835481624,0.650439850507701
"75",1991,"SNOW","ALL",107.5,0.795412688942553,0.746775042236825,0.83625204694476
"76",1991,"SNOW","ALL",112.5,0.85450605197398,0.797550124062345,0.90194570988631
"77",1991,"SNOW","ALL",117.5,0.89185204246179,0.830239510538615,0.935035899942166
"78",1991,"SNOW","ALL",122.5,0.922267083894729,0.875072685532308,0.953451839168867
"79",1991,"SNOW","ALL",127.5,0.946099608136135,0.896175321000174,0.972406463218394
