"","SPECIES","REGION","DISTRICT","YEAR","SIZE_BIN","NUM_IMMATURE","NUM_MATURE","TOTAL_CRAB","PROP_MATURE","PROP_MATURE_SD","LOGIT","LOGIT_SD","N_CHELA"
"142","TANNER","EBS","ALL",1994,107.5,29.9613549565481,38.6520450434519,68.6134,0.563330851458344,0.0592243372866454,0.258535558766139,0.244646426568987,14
"143","TANNER","EBS","ALL",1994,112.5,26.0018578013905,40.1133421986095,66.1152,0.606718911817698,0.0712658374947562,0.44361072485408,0.306290782555156,11
"144","TANNER","EBS","ALL",1994,117.5,19.0485523836876,50.5992476163124,69.6478,0.72650173611101,0.0559903823922081,0.995279041411874,0.286425077996417,20
"145","TANNER","EBS","ALL",1994,122.5,9.66609718232611,47.2165028176739,56.8826,0.830069350164618,0.0346476640589984,1.60609299487041,0.246991498653108,21
"146","TANNER","EBS","ALL",1994,127.5,4.89708558734258,52.9855144126574,57.8826,0.915396240194073,0.0221456887322179,2.41452013153514,0.282846108333288,24
"147","TANNER","EBS","ALL",1994,132.5,4.17115818619773,63.4766418138023,67.6478,0.938340076304067,0.0200764425641142,2.77251123480041,0.337720778320927,25
"148","TANNER","EBS","ALL",1994,137.5,2.73256519745015,41.2674348025499,44,0.937896245512497,0.0236734355858412,2.78379200250991,0.397896946886644,17
"149","TANNER","EBS","ALL",1994,142.5,0.527899853768414,31.2373001462316,31.7652,0.98338118904435,0.00833524968168204,4.18980549973246,0.470938787132284,11
"150","TANNER","EBS","ALL",1994,147.5,0.442005411343153,55.0883945886568,55.5304,0.992040298442958,0.00406107222298053,5.02348934048755,0.635271894366683,21
"151","TANNER","EBS","ALL",1994,152.5,0.131072761763427,39.6341272382366,39.7652,0.99670383245241,0.00168171813652556,6.00046506753393,0.766049159080044,17
"152","TANNER","EBS","ALL",1994,157.5,0.0364361840511762,33.7287638159488,33.7652,0.998920895358204,0.000550563592753204,7.28426431183233,0.957544317154029,13
"153","TANNER","EBS","ALL",1994,162.5,0.0121091894340637,23.7530908105659,23.7652,0.999490465494334,0.000259966584523718,8.29958884035483,1.21256579038059,7
"154","TANNER","EBS","ALL",1994,167.5,0.00196311852116793,7.99803688147883,8,0.999754610184854,0.000125198885278567,9.33109842126882,1.44454892951481,3
"155","TANNER","EBS","ALL",1994,172.5,0.000175687658286794,3.99982431234171,4,0.999956078085428,2.24091400876013e-05,11.4718785606693,1.60617931155832,2
"156","TANNER","EBS","ALL",1995,27.5,138.629823197671,0.170976802329274,138.8008,0.00123181424263602,0.00203134152719595,-7.5158987223055,1.28897725125965,3
"157","TANNER","EBS","ALL",1995,32.5,85.8363756028416,0.163624397158385,86,0.00190260926928355,0.00254995259346479,-6.83532238790061,1.08426813257253,1
"158","TANNER","EBS","ALL",1995,42.5,118.414202498758,0.585797501241928,119,0.00492266807766326,0.00424411871747619,-5.60133026362399,0.768925226761961,6
"159","TANNER","EBS","ALL",1995,47.5,53.4626991129058,0.537300887094239,54,0.0099500164276711,0.00719666645801473,-4.80471326233624,0.640826534955993,4
"160","TANNER","EBS","ALL",1995,52.5,54.0318179694501,0.968182030549908,55,0.017603309646362,0.00966657487282343,-4.14914131863986,0.507487028930218,8
"161","TANNER","EBS","ALL",1995,57.5,101.092958244174,1.90704175582573,103,0.0185149685031624,0.00781403052487908,-4.04902337943576,0.400577326815151,14
"162","TANNER","EBS","ALL",1995,62.5,45.460843714588,1.53915628541197,47,0.0327480060725952,0.0132047660292786,-3.46215881473454,0.406533672367266,6
"163","TANNER","EBS","ALL",1995,67.5,46.9486180688069,2.05138193119311,49,0.0418649373712879,0.0121396073564341,-3.17084047059037,0.296445454035588,21
"164","TANNER","EBS","ALL",1995,72.5,55.1132146818176,2.93078531818235,58.044,0.050492476710467,0.0147586530314207,-2.97565396944622,0.305144616356823,12
"165","TANNER","EBS","ALL",1995,77.5,53.2859195497828,5.51488045021716,58.8008,0.093789207803587,0.0213369513307478,-2.29390044125469,0.252858298767829,24
"166","TANNER","EBS","ALL",1995,82.5,40.8486523594653,9.15134764053471,50,0.183026952810694,0.0328798387429616,-1.51139578496666,0.221509973844242,25
"167","TANNER","EBS","ALL",1995,87.5,42.6635241677888,19.8442758322112,62.5078,0.317468793209987,0.0420909062220133,-0.772485958811818,0.196679137619053,31
